benchmark_uri,suite,protocol,batch,pass_flag,sample_idx,elapsed_sec,returncode,out_sha256,input_file
benchmark://cbench-v1/gsm,cbench-v1,A,2,O0,1,0.018803146,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,O0,2,0.017277482,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,0,0.016044419,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,1,0.018028235,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-licm,2,0.018471230,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,0,0.021616935,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,1,0.021260873,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-rotate,2,0.018501946,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,0,0.020453592,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,1,0.019284838,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unroll,2,0.018793037,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,0,0.018754478,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,1,0.020604099,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-vectorize,2,0.020641208,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,0,0.020525266,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
